,time,code,open,high,low,close,volume
0,2012-01-04,000300.XSHG,2361.5,2365.99,2298.3,2298.75,3434456700.0
1,2012-01-05,000300.XSHG,2290.78,2316.66,2272.15,2276.39,4301648000.0
2,2012-01-06,000300.XSHG,2274.35,2291.89,2254.57,2290.6,3519899200.0
3,2012-01-09,000300.XSHG,2291.18,2368.89,2271.72,2368.57,5472734100.0
4,2012-01-10,000300.XSHG,2365.77,2449.95,2361.28,2447.35,8115498900.0
5,2012-01-11,000300.XSHG,2444.76,2453.15,2423.32,2435.61,5870567400.0
6,2012-01-12,000300.XSHG,2426.82,2464.38,2423.32,2435.22,4712127500.0
7,2012-01-13,000300.XSHG,2438.41,2445.79,2374.55,2394.33,4551399700.0
8,2012-01-16,000300.XSHG,2376.95,2394.5,2345.63,2345.65,3052714500.0
9,2012-01-17,000300.XSHG,2347.57,2462.43,2329.25,2460.6,6420564800.0
10,2012-01-18,000300.XSHG,2464.92,2485.5,2414.53,2422.19,6389235800.0
11,2012-01-19,000300.XSHG,2423.86,2480.21,2414.99,2468.35,5561572600.0
12,2012-01-20,000300.XSHG,2476.73,2510.34,2462.59,2504.09,5452978300.0
13,2012-01-30,000300.XSHG,2508.88,2508.88,2460.4,2460.72,4351714800.0
14,2012-01-31,000300.XSHG,2462.34,2472.84,2447.77,2464.26,3070150100.0
15,2012-02-01,000300.XSHG,2458.23,2481.66,2423.45,2428.99,3501537400.0
16,2012-02-02,000300.XSHG,2437.47,2486.24,2429.71,2486.24,4206698500.0
17,2012-02-03,000300.XSHG,2478.34,2514.64,2470.28,2506.09,4994924000.0
18,2012-02-06,000300.XSHG,2511.17,2520.76,2488.71,2504.32,4507990500.0
19,2012-02-07,000300.XSHG,2489.03,2489.03,2441.7,2457.95,3967916400.0
20,2012-02-08,000300.XSHG,2456.42,2534.16,2451.0,2528.24,5618645600.0
21,2012-02-09,000300.XSHG,2525.59,2546.03,2513.13,2529.23,5929975100.0
22,2012-02-10,000300.XSHG,2521.68,2560.03,2521.16,2533.62,6157587700.0
23,2012-02-13,000300.XSHG,2504.41,2553.45,2496.3,2531.98,5191397300.0
24,2012-02-14,000300.XSHG,2528.97,2533.26,2506.54,2522.11,4043010100.0
25,2012-02-15,000300.XSHG,2515.83,2562.07,2511.29,2549.61,5809037000.0
26,2012-02-16,000300.XSHG,2544.64,2559.34,2519.04,2536.07,5439543100.0
27,2012-02-17,000300.XSHG,2551.82,2558.34,2522.86,2537.09,3899471600.0
28,2012-02-20,000300.XSHG,2571.91,2574.75,2539.9,2540.71,5615332900.0
29,2012-02-21,000300.XSHG,2544.84,2562.91,2520.79,2562.45,4789480800.0
30,2012-02-22,000300.XSHG,2564.32,2598.86,2560.34,2597.48,7637665600.0
31,2012-02-23,000300.XSHG,2595.78,2614.54,2590.52,2606.26,7037712600.0
32,2012-02-24,000300.XSHG,2607.34,2648.02,2602.78,2648.02,8599970800.0
33,2012-02-27,000300.XSHG,2658.12,2693.84,2656.57,2656.57,10151403400.0
34,2012-02-28,000300.XSHG,2652.34,2671.83,2641.46,2662.46,7759253600.0
35,2012-02-29,000300.XSHG,2655.86,2666.65,2631.78,2634.14,5912020600.0
36,2012-03-01,000300.XSHG,2622.74,2647.78,2621.86,2633.34,4214844100.0
37,2012-03-02,000300.XSHG,2637.96,2679.93,2637.96,2679.93,6412203400.0
38,2012-03-05,000300.XSHG,2687.74,2694.61,2660.95,2662.7,7139545800.0
39,2012-03-06,000300.XSHG,2654.8,2657.96,2615.6,2621.05,6244714800.0
40,2012-03-07,000300.XSHG,2596.48,2628.59,2594.13,2603.01,5694873300.0
41,2012-03-08,000300.XSHG,2612.4,2645.95,2612.4,2635.79,5754941300.0
42,2012-03-09,000300.XSHG,2644.1,2664.41,2631.41,2664.3,5525892100.0
43,2012-03-12,000300.XSHG,2663.24,2666.43,2636.42,2654.4,6232721600.0
44,2012-03-13,000300.XSHG,2653.68,2681.33,2649.17,2681.07,5840446900.0
45,2012-03-14,000300.XSHG,2694.47,2705.75,2595.34,2605.11,10842654000.0
46,2012-03-15,000300.XSHG,2602.66,2618.25,2575.44,2585.55,7256596000.0
47,2012-03-16,000300.XSHG,2591.8,2624.32,2577.24,2623.52,5809125900.0
48,2012-03-19,000300.XSHG,2617.66,2631.05,2598.63,2630.01,5764662500.0
49,2012-03-20,000300.XSHG,2622.66,2622.66,2584.02,2584.45,5811406500.0
50,2012-03-21,000300.XSHG,2597.38,2613.27,2569.07,2587.79,5800254400.0
51,2012-03-22,000300.XSHG,2586.94,2599.24,2570.45,2583.75,4492677700.0
52,2012-03-23,000300.XSHG,2575.33,2578.82,2544.53,2552.94,4332925600.0
53,2012-03-26,000300.XSHG,2551.43,2562.93,2540.7,2555.44,3181621100.0
54,2012-03-27,000300.XSHG,2565.55,2571.9,2544.37,2547.14,3594460400.0
55,2012-03-28,000300.XSHG,2538.46,2540.42,2471.03,2474.9,5000579000.0
56,2012-03-29,000300.XSHG,2463.69,2476.48,2429.73,2443.12,4613130400.0
57,2012-03-30,000300.XSHG,2447.94,2461.98,2438.49,2454.9,3702708600.0
58,2012-04-05,000300.XSHG,2449.21,2517.39,2441.27,2512.83,5433168700.0
59,2012-04-06,000300.XSHG,2509.45,2525.53,2502.7,2519.83,4236857600.0
60,2012-04-09,000300.XSHG,2510.53,2518.38,2491.59,2495.15,3537098600.0
61,2012-04-10,000300.XSHG,2490.28,2519.81,2459.35,2519.79,4133590500.0
62,2012-04-11,000300.XSHG,2494.52,2541.13,2489.32,2520.04,4251031000.0
63,2012-04-12,000300.XSHG,2522.83,2570.84,2516.57,2570.44,5648840900.0
64,2012-04-13,000300.XSHG,2575.05,2593.79,2570.03,2580.45,5309264300.0
65,2012-04-16,000300.XSHG,2564.23,2586.2,2559.78,2574.04,4083970000.0
66,2012-04-17,000300.XSHG,2572.36,2578.76,2541.53,2541.88,3781546700.0
67,2012-04-18,000300.XSHG,2550.91,2602.11,2546.0,2599.91,5868840800.0
68,2012-04-19,000300.XSHG,2598.33,2606.86,2585.3,2596.06,4644810900.0
69,2012-04-20,000300.XSHG,2591.51,2627.38,2589.35,2626.84,6144637900.0
70,2012-04-23,000300.XSHG,2624.75,2632.09,2599.11,2606.04,5866493800.0
71,2012-04-24,000300.XSHG,2594.8,2640.3,2559.46,2604.87,7113955800.0
72,2012-04-25,000300.XSHG,2598.23,2631.44,2593.33,2625.99,6246805300.0
73,2012-04-26,000300.XSHG,2632.72,2643.77,2617.09,2631.49,5896566700.0
74,2012-04-27,000300.XSHG,2630.55,2637.92,2623.6,2626.16,4823358600.0
75,2012-05-02,000300.XSHG,2660.67,2697.95,2643.53,2683.49,8014865400.0
76,2012-05-03,000300.XSHG,2679.52,2693.88,2675.81,2691.52,5936109000.0
77,2012-05-04,000300.XSHG,2689.62,2716.03,2677.14,2715.88,6321808600.0
78,2012-05-07,000300.XSHG,2699.45,2717.78,2694.32,2717.78,6854731400.0
79,2012-05-08,000300.XSHG,2717.41,2717.82,2683.56,2709.12,6311084000.0
80,2012-05-09,000300.XSHG,2685.19,2685.19,2655.32,2657.51,5840028300.0
81,2012-05-10,000300.XSHG,2657.87,2667.68,2649.38,2657.21,4696257600.0
82,2012-05-11,000300.XSHG,2652.31,2666.57,2636.52,2636.92,4100614300.0
83,2012-05-14,000300.XSHG,2653.81,2656.28,2613.35,2615.53,5208248400.0
84,2012-05-15,000300.XSHG,2597.64,2618.18,2591.6,2617.37,4576727100.0
85,2012-05-16,000300.XSHG,2610.16,2612.63,2574.08,2574.65,4328027400.0
86,2012-05-17,000300.XSHG,2577.96,2619.59,2571.2,2613.94,4372838900.0
87,2012-05-18,000300.XSHG,2595.55,2603.19,2567.3,2573.98,4342212400.0
88,2012-05-21,000300.XSHG,2572.37,2604.22,2563.97,2587.23,3860209000.0
89,2012-05-22,000300.XSHG,2598.17,2627.6,2597.6,2627.53,4277352900.0
90,2012-05-23,000300.XSHG,2621.79,2635.78,2598.29,2616.87,4371953100.0
91,2012-05-24,000300.XSHG,2613.09,2630.41,2588.21,2595.26,4284406600.0
92,2012-05-25,000300.XSHG,2595.26,2602.17,2565.65,2573.1,3927300400.0
93,2012-05-28,000300.XSHG,2562.6,2614.85,2545.34,2614.69,5633927500.0
94,2012-05-29,000300.XSHG,2615.14,2658.26,2612.56,2650.85,7213563700.0
95,2012-05-30,000300.XSHG,2646.37,2655.16,2636.52,2642.26,5185543600.0
96,2012-05-31,000300.XSHG,2623.16,2645.59,2617.23,2632.04,4410746900.0
97,2012-06-01,000300.XSHG,2633.6,2653.86,2623.29,2633.0,4419105600.0
98,2012-06-04,000300.XSHG,2598.73,2608.32,2558.92,2559.03,5247850200.0
99,2012-06-05,000300.XSHG,2565.19,2573.89,2548.76,2558.84,3777991000.0
100,2012-06-06,000300.XSHG,2564.23,2573.74,2547.33,2557.4,3385769400.0
101,2012-06-07,000300.XSHG,2579.43,2584.04,2536.26,2542.18,3484118600.0
102,2012-06-08,000300.XSHG,2558.84,2559.13,2520.41,2524.33,4385642600.0
103,2012-06-11,000300.XSHG,2529.6,2565.43,2523.77,2558.26,4009826000.0
104,2012-06-12,000300.XSHG,2543.76,2553.91,2529.95,2540.18,3793667600.0
105,2012-06-13,000300.XSHG,2546.79,2581.11,2539.63,2580.64,4501456800.0
106,2012-06-14,000300.XSHG,2573.33,2584.71,2558.57,2560.42,4024793400.0
107,2012-06-15,000300.XSHG,2565.19,2580.17,2538.57,2568.05,4278607800.0
108,2012-06-18,000300.XSHG,2576.63,2593.22,2572.99,2581.21,3569362800.0
109,2012-06-19,000300.XSHG,2577.36,2577.36,2556.1,2558.62,3270055300.0
110,2012-06-20,000300.XSHG,2563.64,2570.66,2549.44,2552.61,2985063900.0
111,2012-06-21,000300.XSHG,2547.05,2547.05,2502.42,2512.18,3539673200.0
112,2012-06-25,000300.XSHG,2501.16,2501.16,2455.01,2456.52,4010673500.0
113,2012-06-26,000300.XSHG,2442.56,2465.12,2434.64,2454.91,3173400800.0
114,2012-06-27,000300.XSHG,2452.67,2470.76,2444.34,2447.2,3000755300.0
115,2012-06-28,000300.XSHG,2451.66,2459.19,2425.24,2425.73,3054311300.0
116,2012-06-29,000300.XSHG,2418.86,2462.82,2417.49,2461.61,3799494100.0
117,2012-07-02,000300.XSHG,2473.55,2473.97,2452.99,2465.24,4051007800.0
118,2012-07-03,000300.XSHG,2464.85,2490.55,2457.45,2468.72,3869335400.0
119,2012-07-04,000300.XSHG,2474.53,2481.34,2455.99,2464.92,3445214200.0
120,2012-07-05,000300.XSHG,2450.3,2450.3,2420.0,2430.37,3472614500.0
121,2012-07-06,000300.XSHG,2435.06,2477.23,2420.36,2472.61,4961060500.0
122,2012-07-09,000300.XSHG,2455.89,2470.2,2414.95,2416.04,4922330200.0
123,2012-07-10,000300.XSHG,2411.0,2426.53,2402.37,2406.71,3554998400.0
124,2012-07-11,000300.XSHG,2402.18,2427.8,2402.15,2425.57,3762431200.0
125,2012-07-12,000300.XSHG,2420.04,2460.56,2404.58,2449.18,5671769100.0
126,2012-07-13,000300.XSHG,2441.01,2467.99,2438.98,2450.63,3672525600.0
127,2012-07-16,000300.XSHG,2452.59,2452.59,2399.61,2399.73,4277187000.0
128,2012-07-17,000300.XSHG,2391.9,2421.93,2391.28,2414.2,3342432900.0
129,2012-07-18,000300.XSHG,2412.06,2420.78,2373.65,2414.34,4175178800.0
130,2012-07-19,000300.XSHG,2407.44,2444.06,2401.29,2424.32,4694905200.0
131,2012-07-20,000300.XSHG,2415.71,2423.8,2392.18,2398.45,3761975400.0
132,2012-07-23,000300.XSHG,2379.89,2379.89,2357.51,2365.43,3239036900.0
133,2012-07-24,000300.XSHG,2353.22,2392.35,2352.8,2375.99,3031007900.0
134,2012-07-25,000300.XSHG,2368.38,2381.04,2357.47,2360.08,2489650100.0
135,2012-07-26,000300.XSHG,2360.13,2374.87,2344.7,2347.49,3131409400.0
136,2012-07-27,000300.XSHG,2353.94,2364.98,2341.29,2349.11,3109052500.0
137,2012-07-30,000300.XSHG,2350.78,2367.03,2334.0,2335.79,3048485100.0
138,2012-07-31,000300.XSHG,2336.88,2350.07,2329.51,2332.92,3209972300.0
139,2012-08-01,000300.XSHG,2332.13,2371.12,2331.95,2358.65,3142084800.0
140,2012-08-02,000300.XSHG,2354.07,2358.56,2325.61,2334.88,3151615900.0
141,2012-08-03,000300.XSHG,2340.25,2354.16,2329.93,2353.74,2976978500.0
142,2012-08-06,000300.XSHG,2350.12,2388.36,2348.12,2385.61,4182066500.0
143,2012-08-07,000300.XSHG,2383.26,2390.78,2379.45,2388.87,3828548900.0
144,2012-08-08,000300.XSHG,2390.96,2405.18,2382.82,2389.8,3781045100.0
145,2012-08-09,000300.XSHG,2388.43,2412.14,2378.85,2411.7,3565895100.0
146,2012-08-10,000300.XSHG,2409.94,2413.42,2395.91,2399.75,3470299500.0
147,2012-08-13,000300.XSHG,2394.5,2394.5,2350.81,2351.93,4478354600.0
148,2012-08-14,000300.XSHG,2352.66,2357.85,2324.91,2357.02,3985006600.0
149,2012-08-15,000300.XSHG,2350.02,2350.02,2330.15,2331.61,3058017600.0
150,2012-08-16,000300.XSHG,2327.91,2335.4,2317.06,2319.67,2590290500.0
151,2012-08-17,000300.XSHG,2318.43,2322.89,2295.16,2313.48,2606571700.0
152,2012-08-20,000300.XSHG,2294.9,2307.41,2279.95,2301.79,2740203300.0
153,2012-08-21,000300.XSHG,2301.93,2327.38,2296.55,2313.7,3489510000.0
154,2012-08-22,000300.XSHG,2315.14,2317.37,2285.76,2295.59,3170841200.0
155,2012-08-23,000300.XSHG,2298.18,2311.65,2285.37,2302.2,3133534200.0
